data_id,question,answer,tokens,token_count
1,「a」「b」「c」を並べ替えてできる、タクシーを意味する英単語は何でしょう？,cab,|「a」|「b」|「c」|を|並べ替え|て|できる|、|タクシー|を|意味|する|英単語|は|何|でしょう|？|,17
2,詩集『月に吠える』や『青猫(あおねこ)』で知られる、大正・昭和時代の詩人は誰でしょう？,萩原朔太郎(はぎわら・さくたろう),|詩集|『月に吠える』|や|『青猫』|で|知ら|れる|、|大正|・|昭和時代|の|詩人|は|誰|でしょう|？|,17
3,シチューやスープなどをかけて食べられる、硬質の小麦粉に水を加えて粒状にした北アフリカの民族料理は何でしょう？,クスクス(couscous),|シチュー|や|スープ|など|を|かけ|て|食べ|られる|、|硬質|の|小麦粉|に|水|を|加え|て|粒|状|に|し|た|北|アフリカ|の|民族料理|は|何|でしょう|？|,31
4,アメリカにおける「4大テレビネットワーク」といえば、ABC、NBC、CBSと何でしょう？,FOX(The Fox Broadcasting Company),|アメリカ|に|おけ|る|「|4|大|テレビ|ネットワーク|」|と|いえ|ば|、|ABC|、|NBC|、|CBS|と|何|でしょう|？|,23
5,1882年に吉原重俊(よしはら・しげとし)を初代総裁として開業された、日本の中央銀行は何でしょう？,日本銀行(にっぽんぎんこう),|1882|年|に|吉原重俊|を|初代総裁|と|し|て|開業|さ|れ|た|、|日本|の|中央銀行|は|何|でしょう|？|,21
6,野球で、進塁したランナーが勢い余って塁を走り越してしまうプレーを、英語で何というでしょう？,オーバーラン,|野球|で|、|進塁|し|た|ランナー|が|勢い|余っ|て|塁|を|走り越し|て|しまう|プレー|を|、|英語|で|何|と|いう|でしょう|？|,26
7,ギリシャ神話の虹の女神にちなんで名付けられた、原子番号77、元素記号Irの元素は何でしょう？,イリジウム(iridium),|ギリシャ|神話|の|虹|の|女神|に|ちなん|で|名付け|られ|た|、|原子番号|77|、|元素記号|Ir|の|元素|は|何|でしょう|？|,24
8,金貨の小判の表面に刻まれている模様のことを、見た目がある敷物に似ていることから何というでしょう？,ござ目(ござめ),|金貨|の|小判|の|表面|に|刻ま|れ|て|いる|模様|の|こと|を|、|見|た|目|が|ある|敷物|に|似|て|いる|こと|から|何|と|いう|でしょう|？|,32
9,日本の都道府県で、京田辺市があるのは京都府ですが、田辺市があるのはどこでしょう？,和歌山県,|日本|の|都道府県|で|、|京田辺市|が|ある|の|は|京都府|です|が|、|田辺市|が|ある|の|は|どこ|でしょう|？|,22
10,音楽の1ジャンル「R&B」とは、何という言葉を略したものでしょう？,リズム・アンド・ブルース(Rhythm & Blues),|音楽|の|1|ジャンル|「R&B」|と|は|、|何|と|いう|言葉|を|略し|た|もの|でしょう|？|,18
11,スペイン語で「豊かな海岸」という意味の名前を持つ、首都をサン・ホセにおく中米の国はどこでしょう？,コスタリカ共和国,|スペイン|語|で|「豊かな海岸」|と|いう|意味|の|名前|を|持つ|、|首都|を|サン|・|ホセ|に|おく|中米|の|国|は|どこ|でしょう|？|,26
12,満月、十六夜(いざよい)の次の日にあたる旧暦17日ごろの月のことを、それを待つ様子から漢字3文字で特に何というでしょう？,立待月(たちまちづき),|満月|、|十六夜|の|次|の|日|に|あたる|旧暦|17|日|ごろ|の|月|の|こと|を|、|それ|を|待つ|様子|から|漢字|3|文字|で|特に|何|と|いう|でしょう|？|,34
