data_id,question,answer,tokens,weights,token_count
2201,イリオス遺跡、カッパドキア、トプカプ宮殿などの観光地がある国といえばどこでしょう？,トルコ,|イリオス|遺跡|、|カッパドキア|、|トプカプ|宮殿|など|の|観光地|が|ある|国|と|いえ|ば|どこ|でしょう|？|,|0.200000|0.050000|0.010000|0.300000|0.010000|0.250000|0.050000|0.010000|0.010000|0.010000|0.010000|0.010000|0.010000|0.010000|0.010000|0.010000|0.010000|0.010000|0.010000|,19
141,劇場の天井桟敷、美術展の画廊、ゴルフ競技の観客を指す時に共通して用いられる英単語は何でしょう？,ギャラリー,|劇場|の|天井桟敷|、|美術|展|の|画廊|、|ゴルフ|競技|の|観客|を|指す|時|に|共通|し|て|用い|られる|英単語|は|何|でしょう|？|,|0.100000|0.010000|0.150000|0.010000|0.100000|0.010000|0.010000|0.150000|0.010000|0.100000|0.010000|0.010000|0.100000|0.010000|0.010000|0.010000|0.010000|0.050000|0.010000|0.010000|0.010000|0.010000|0.100000|0.010000|0.010000|0.010000|0.010000|,27
2017,人間の身体に必要な「三大栄養素」と呼ばれる3つの栄養素とは、脂質、たんぱく質と何でしょう？,炭水化物(たんすいかぶつ),|人間|の|身体|に|必要|な|「三大栄養素」|と|呼ば|れる|3|つ|の|栄養|素|と|は|、|脂質|、|たんぱく|質|と|何|でしょう|？|,|0.020000|0.010000|0.020000|0.010000|0.020000|0.010000|0.250000|0.010000|0.010000|0.010000|0.150000|0.010000|0.010000|0.020000|0.010000|0.010000|0.010000|0.010000|0.150000|0.010000|0.150000|0.010000|0.010000|0.050000|0.020000|0.010000|,26
1320,和名をムラサキウマゴヤシという、マメ科の多年性植物といえば何でしょう？,アルファルファ,|和名|を|ムラサキウマゴヤシ|と|いう|、|マメ科|の|多年|性|植物|と|いえ|ば|何|でしょう|？|,|0.050000|0.010000|0.600000|0.010000|0.010000|0.010000|0.150000|0.010000|0.050000|0.010000|0.050000|0.010000|0.010000|0.010000|0.010000|0.010000|0.010000|,17
1055,特定の人をひいきすることは「肩入れ」といいますが、お嫁に行くことをある乗り物の名を使って｢何入れ」というでしょう？,輿(こし)入れ,|特定|の|人|を|ひいき|する|こと|は|「肩入れ」|と|いい|ます|が|、|お|嫁|に|行く|こと|を|ある|乗り物|の|名|を|使っ|て|｢|何|入れ|」|と|いう|でしょう|？|,|0.010000|0.010000|0.010000|0.010000|0.010000|0.010000|0.010000|0.010000|0.020000|0.010000|0.010000|0.010000|0.010000|0.010000|0.010000|0.100000|0.010000|0.050000|0.010000|0.010000|0.010000|0.200000|0.010000|0.010000|0.010000|0.010000|0.010000|0.010000|0.100000|0.200000|0.010000|0.010000|0.010000|0.010000|0.010000|,35
495,アメリカ独立戦争時にはイギリス海軍大臣を務めた伯爵で、パンに肉や野菜を挟んだ食べ物にその名を残すのは誰でしょう？,サンドウィッチ伯爵(Sandwich),|アメリカ|独立戦争時|に|は|イギリス|海軍大臣|を|務め|た|伯爵|で|、|パン|に|肉|や|野菜|を|挟ん|だ|食べ物|に|その|名|を|残す|の|は|誰|でしょう|？|,|0.020000|0.050000|0.010000|0.010000|0.100000|0.100000|0.010000|0.010000|0.010000|0.100000|0.010000|0.010000|0.100000|0.010000|0.050000|0.010000|0.050000|0.010000|0.050000|0.010000|0.050000|0.010000|0.010000|0.050000|0.010000|0.050000|0.010000|0.010000|0.010000|0.010000|0.010000|,31
1825,アカ、ムラサキ、バフンなどの種類がある、その卵巣や精巣が珍味として知られる棘皮動物(きょくひどうぶつ)は何でしょう？,ウニ,|アカ|、|ムラサキ|、|バフン|など|の|種類|が|ある|、|その|卵巣|や|精巣|が|珍味|と|し|て|知ら|れる|棘皮動物|は|何|でしょう|？|,|0.100000|0.010000|0.100000|0.010000|0.100000|0.010000|0.010000|0.010000|0.010000|0.010000|0.010000|0.010000|0.150000|0.010000|0.150000|0.010000|0.100000|0.010000|0.010000|0.010000|0.010000|0.010000|0.150000|0.010000|0.010000|0.010000|0.010000|,27
965,車の部品などを改良して機能を高めること、ラジオなどでは周波数を合わせること、音楽では楽器の音の高さを合わせることに共通する英語は何でしょう？,Tuning(チューニング),|車|の|部品|など|を|改良|し|て|機能|を|高める|こと|、|ラジオ|など|で|は|周波数|を|合わせる|こと|、|音楽|で|は|楽器|の|音|の|高|さ|を|合わせる|こと|に|共通|する|英語|は|何|でしょう|？|,|0.020000|0.010000|0.020000|0.010000|0.010000|0.050000|0.010000|0.010000|0.020000|0.010000|0.050000|0.010000|0.010000|0.020000|0.010000|0.010000|0.010000|0.100000|0.010000|0.100000|0.010000|0.010000|0.050000|0.010000|0.010000|0.050000|0.010000|0.050000|0.010000|0.020000|0.010000|0.010000|0.100000|0.010000|0.010000|0.050000|0.010000|0.050000|0.010000|0.010000|0.010000|0.010000|,42
1356,この地を訪れた頼山陽が命名した、大沼、三保の松原とともに新日本三景の一つに数えられている大分県中津市にある渓谷は何でしょう？,耶馬渓(やばけい),|この|地|を|訪れ|た|頼山陽|が|命名|し|た|、|大沼|、|三保|の|松原|と|とも|に|新|日本三景|の|一|つ|に|数え|られ|て|いる|大分県中津市|に|ある|渓谷|は|何|でしょう|？|,|0.010000|0.010000|0.010000|0.010000|0.010000|0.100000|0.010000|0.050000|0.010000|0.010000|0.010000|0.010000|0.010000|0.010000|0.010000|0.010000|0.010000|0.010000|0.010000|0.010000|0.100000|0.010000|0.010000|0.010000|0.010000|0.010000|0.010000|0.010000|0.010000|0.300000|0.010000|0.010000|0.200000|0.010000|0.010000|0.010000|0.010000|,37
1613,ラテン語で「炎」という意味の言葉に由来する名前を持つ、和名を「ベニヅル」という鳥は何でしょう？,フラミンゴ,|ラテン|語|で|「炎」|と|いう|意味|の|言葉|に|由来|する|名前|を|持つ|、|和名|を|「ベニヅル」|と|いう|鳥|は|何|でしょう|？|,|0.100000|0.020000|0.010000|0.200000|0.010000|0.010000|0.020000|0.010000|0.010000|0.010000|0.050000|0.010000|0.020000|0.010000|0.010000|0.000000|0.050000|0.010000|0.200000|0.010000|0.010000|0.050000|0.010000|0.050000|0.050000|0.000000|,26
